 	Design Numbers	obj_o_Wh_Loss	obj_o_Weight_Act
190	0.190	564.667890279	111.62948327447862
191	0.191	686.407527063	124.12608201852584
192	0.192	637.697401613	134.6752799798871
193	0.193	589.599337546	130.89916113177802
194	0.194	584.482511928	116.47144365087533
195	0.195	577.987563389	116.59462169173344
196	0.196	nan	nan
197	0.197	nan	nan
198	0.198	596.695687877	100.04820768005874
199	0.199	615.618677881	133.18407753950953
200	0.200	640.410672434	137.4920706356468
201	0.201	578.692451133	104.71816479582071
202	0.202	571.117857107	107.16988749688883
203	0.203	615.45355511	108.28801398429609
204	0.204	651.085504932	142.31665853918645
205	0.205	548.111356261	98.3544047487095
206	0.206	530.157063472	111.4672717959497
207	0.207	572.037347291	119.59061410778749
208	0.208	557.427395905	108.15941665696268
209	0.209	555.787762914	120.60474071367055
210	0.210	564.495941568	105.35333185499918
211	0.211	702.068866953	143.45213677899835
212	0.212	532.394059483	104.82712131757934
213	0.213	538.530319467	114.18214368318452
214	0.214	586.821771861	139.31406999648547
215	0.215	556.74648866	116.13826345682365
216	0.216	593.625735814	128.4460633322964
217	0.217	nan	nan
218	0.218	565.307303252	108.16836617227986
219	0.219	611.569817275	107.20441418334048
220	0.220	581.048787535	104.33296275667152
221	0.221	530.553574386	93.32535031750741
222	0.222	564.211901182	104.01348287033997
223	0.223	nan	nan
224	0.224	560.25696554	107.15013134763583
225	0.225	611.668857838	138.85870432577428
226	0.226	565.074731111	111.71394111216716
227	0.227	581.714209418	91.38650312906924
228	0.228	575.517168481	88.44084311141557
229	0.229	639.948290686	131.54999144567194
230	0.230	612.785532555	119.99495471736904
231	0.231	591.780132311	91.88424373825595
232	0.232	639.365718336	140.96510068727056
233	0.233	551.334348859	113.47415382741175
234	0.234	606.445291804	118.68024162415387
235	0.235	573.068927658	125.13047257058096
236	0.236	571.615709019	119.86288347569351
237	0.237	599.467440499	98.83390318603182
238	0.238	588.720768215	115.85591121194352
239	0.239	541.770594146	90.47204248169336
240	0.240	556.793574256	91.66066741777871
241	0.241	627.064730845	117.68233419565681
242	0.242	529.433877296	111.44302349942285
243	0.243	547.576651641	116.53876875174117
244	0.244	595.068613001	121.44373607638252
245	0.245	561.785798898	104.49063199949104
246	0.246	557.58380291	99.84610261862596
247	0.247	543.301551819	93.78891372555438
248	0.248	510.980690506	103.32358524751231
249	0.249	645.209221542	139.78462539912158
250	0.250	528.164422383	108.5089156320814
251	0.251	nan	nan
252	0.252	550.59144119	93.73815680057567
253	0.253	646.645089008	134.4517464185702
254	0.254	610.743460483	150.75634666196402
255	0.255	547.053472219	122.37380107208486
256	0.256	564.297865283	108.84366059883214
257	0.257	547.688730381	124.54889150848632
258	0.258	566.618569678	88.42943273946554
259	0.259	706.051671445	147.40657105191195
260	0.260	667.098129528	150.82346199617047
261	0.261	600.221674659	114.24656337517922
262	0.262	548.197127335	89.24128197116522
263	0.263	572.494728071	128.4950846430573
264	0.264	562.551914184	105.41903574135917
265	0.265	629.860376996	119.3537895743753
266	0.266	567.509231257	113.72110647194592
267	0.267	716.345147675	127.57061265944695
268	0.268	562.308139888	121.93692304912324
269	0.269	612.928466487	136.04484049623193
270	0.270	638.423709397	126.41766413912217
271	0.271	536.850505407	95.68209158110076
272	0.272	562.591275736	102.72723267681474
273	0.273	741.841140557	147.94575700124673
274	0.274	580.519843041	147.46646704542698
275	0.275	523.886214757	85.37975754105045
276	0.276	647.720614704	130.58998644377894
277	0.277	599.435009415	114.71032325740246
278	0.278	574.919790583	116.65071204023161
279	0.279	567.370624017	117.28353052568082
280	0.280	633.499284055	132.64155869060005
281	0.281	549.513766762	114.83028150410502
282	0.282	543.133685516	92.22421616452196
283	0.283	537.941345259	88.0709491227207
284	0.284	604.231539531	147.93093715497912
285	0.285	589.492279894	100.27494431420989
286	0.286	587.048634395	96.27673867772069
287	0.287	568.881758928	123.69152952238284
288	0.288	532.662452089	90.75887527151556
289	0.289	563.955825623	124.35231014660457
290	0.290	554.18238954	116.37301518948681
291	0.291	646.496500207	139.08385762626025
292	0.292	545.141804912	109.56433475873162
293	0.293	531.400160745	94.87823703203522
294	0.294	538.188439551	126.29387543013421
295	0.295	579.433443354	123.64299071798989
296	0.296	544.309818538	109.03170087065644
297	0.297	601.659538113	143.85380405916152
298	0.298	586.46276895	124.47585025263352
299	0.299	587.078156614	127.49737219494382
300	0.300	613.975639399	142.44804862722629
301	0.301	591.001486654	136.46554526932948
302	0.302	574.972478862	129.9055097787206
303	0.303	643.266935917	120.56988867980506
304	0.304	616.055400634	107.15377914405366
305	0.305	524.343541509	106.34644366705209
306	0.306	587.381973719	103.76650738383695
307	0.307	656.455516764	104.73181316557121
308	0.308	627.702837278	116.5871652045638
309	0.309	536.145104833	124.40357639847473
310	0.310	577.843564718	116.02036996724425
311	0.311	547.713064639	92.38517390554341
312	0.312	569.9722763	134.91868359160156
313	0.313	646.909324979	147.6714508651956
314	0.314	558.179498355	93.6846921825914
315	0.315	591.749932383	131.3528017474579
316	0.316	589.534280878	109.70540163586179
317	0.317	750.689732676	133.4593287469923
318	0.318	573.236483469	118.78751205120213
319	0.319	592.780040683	118.91656439229448
320	0.320	549.616050814	97.84611453403647
321	0.321	655.232951716	137.36429858482953
322	0.322	581.712193665	138.23697416955227
323	0.323	565.36696468	125.95777154356229
324	0.324	564.515297453	131.9276119304539
325	0.325	632.011474272	125.98818434984781
326	0.326	567.954149127	91.65335427353918
327	0.327	545.423692139	112.41038693792609
328	0.328	643.694448541	133.9706744226494
329	0.329	678.156846687	118.77818338715684
330	0.330	630.09744991	147.18011638003412
331	0.331	607.758029145	149.7845215578126
332	0.332	548.099432568	113.5229617049613
333	0.333	544.313427454	96.61551406907016
334	0.334	591.791102352	115.85353138865906
335	0.335	584.532937738	117.13887849733644
336	0.336	660.931665069	143.48412253367428
337	0.337	676.709215418	124.71440209117799
338	0.338	522.243934993	107.57187043864054
339	0.339	639.607565941	132.1091668221134
340	0.340	626.489386836	136.2814999051103
341	0.341	580.283038109	95.55826770822645
342	0.342	529.101817428	106.14558858963768
343	0.343	543.161133997	119.96277638473644
344	0.344	535.02485677	99.33395434421502
345	0.345	622.801288097	106.94655408135387
346	0.346	573.83480019	112.11772087043312
347	0.347	539.727957348	99.9524647474671
348	0.348	588.944685127	137.94839438311982
349	0.349	610.861927087	121.8622258160707
350	0.350	562.73237897	87.93972177808482
351	0.351	610.117417892	117.17386641570559
352	0.352	611.598397756	132.80174439362514
353	0.353	553.437835358	106.92154875565662
354	0.354	564.423604615	91.47156788408586
355	0.355	539.859497179	109.34031494184705
356	0.356	574.29412275	130.71279690258595
357	0.357	620.293255978	133.40572878683028
358	0.358	589.374004542	107.35021817239021
359	0.359	604.916514937	128.4611239747171
360	0.360	551.806804686	131.09508408930566
361	0.361	511.727633685	101.35126434615967
362	0.362	589.271101039	134.92888878182708
363	0.363	760.446319451	143.89562008371865
364	0.364	700.587431831	120.39316475348194
365	0.365	597.220313315	116.29254338533286
366	0.366	nan	nan
367	0.367	569.699909489	110.85408275868657
368	0.368	556.41594925	93.81677072166242
369	0.369	593.389199139	94.82790783211544
370	0.370	605.247695715	137.12519548090654
371	0.371	533.997558142	103.51401201565272
372	0.372	659.131024933	137.29490520566316
373	0.373	566.973269019	102.01078648481175
374	0.374	707.243010814	140.90530994575997
375	0.375	525.021901213	104.74672696191908
376	0.376	573.242846291	113.56940277382375
377	0.377	602.738953873	113.59737213611729
378	0.378	573.770548721	98.24368057154618
379	0.379	596.599248648	151.42868333570172
380	0.380	658.158648537	134.67388807973444
381	0.381	618.87007606	132.13893868699012
382	0.382	533.454595244	117.60376709280396
383	0.383	555.237755135	96.01941038943679
384	0.384	570.060733048	125.09945169329433
385	0.385	629.105980082	139.87885023111508
386	0.386	531.789298167	97.85643192264877
387	0.387	597.243565314	120.69573737858033
388	0.388	571.171070611	116.99394850692346
389	0.389	559.343801256	103.19137661851937
390	0.390	660.594989772	125.13660868552613
391	0.391	549.731549708	108.87599543286682
392	0.392	531.527982997	95.91404461851948
393	0.393	630.466400748	135.1157377534234
394	0.394	564.659647401	111.9790094270571
395	0.395	614.965218475	114.42936083244102
396	0.396	542.161871443	100.91005081491238
397	0.397	545.55892443	100.88326805154955
398	0.398	544.253051599	99.58375972649026
399	0.399	598.913421107	103.25764274977055
400	0.400	588.195824173	132.51374459936858
