 	Design Numbers	obj_o_Weight_Act	obj_o_Wh_Loss
1	0.1	142.7126481551848	671.4095454002321
2	0.2	143.0445544582444	702.8600277105293
3	0.3	113.44431846717082	553.7059552481945
4	0.4	83.10984955494402	583.1268595006806
5	0.5	104.573249954295	527.6393855005309
6	0.6	95.47843162863384	542.5844992258236
7	0.7	99.2141560804898	576.126172666198
8	0.8	120.93813590272443	534.0402934760037
9	0.9	131.23680664873868	569.5540926740128
10	0.10	99.83787325160644	549.1323834587855
11	0.11	134.30655314471656	623.9619503733791
12	0.12	129.68375004827254	641.7651809785045
13	0.13	104.54442503588236	546.9506128388996
14	0.14	114.10014124872029	585.6146394075815
15	0.15	108.80766958308034	622.1354940289214
16	0.16	133.25586326268436	687.2650321076476
17	0.17	119.48545592820315	577.2570454374643
18	0.18	102.88256568313237	570.3944191818487
19	0.19	118.79622156772139	594.2836677479613
20	0.20	110.95878495614933	554.4717614946331
21	0.21	122.90353609312561	589.4110030050712
22	0.22	124.53850244959558	536.5016123213983
23	0.23	122.87365747746534	554.8968577768537
24	0.24	125.03964232262081	631.7446288673563
25	0.25	98.86532397948258	516.1802885782811
26	0.26	96.96079239914631	540.2903099521734
27	0.27	113.17540383281532	584.7976682009404
28	0.28	139.2102160336259	638.1198285651981
29	0.29	119.5401042217239	590.1248796533217
30	0.30	107.42578158601141	601.237053389597
31	0.31	96.00246300367387	542.1497982494067
32	0.32	84.13703271982412	549.548370139417
33	0.33	138.45865177421416	631.75233880395
34	0.34	120.80551585904897	629.5630274842755
35	0.35	145.72460433951701	754.8786579444073
36	0.36	136.1491006751934	578.9709861666545
37	0.37	93.83642263772386	561.6913596415787
38	0.38	115.30371722806112	623.0825123044955
39	0.39	99.87228211576097	609.2207028794754
40	0.40	102.71440703312518	553.3001270730896
41	0.41	102.84213060540542	566.1113719637482
42	0.42	144.5493450286299	712.4496922737496
43	0.43	104.33783045101478	549.2393358237567
44	0.44	94.65044796843969	541.3576894912668
45	0.45	108.17279972455587	569.2786984559694
46	0.46	116.91293668224365	598.4793095928849
47	0.47	113.06797416514371	565.2439019245936
48	0.48	120.03355448871997	629.1839528223157
49	0.49	141.09487248316802	592.5570959538868
50	0.50	128.4807219238435	630.9532628814795
51	0.51	131.4010434517647	593.0175459672491
52	0.52	98.71097284201329	508.3285051644784
53	0.53	144.6969929120205	671.2832925980156
54	0.54	145.2902560594387	669.9210235210478
55	0.55	138.16679228343276	644.4186460575265
56	0.56	134.88513686620433	643.4645494102926
57	0.57	106.89857372233865	571.7061024506644
58	0.58	95.74918907264436	569.5875547082654
59	0.59	112.26740778254597	579.1581331089626
60	0.60	130.75038392031703	603.5917387749704
61	0.61	142.65495428014967	590.446911287353
62	0.62	122.34275556291783	571.18622490957
63	0.63	112.78712412280014	573.4211442209951
64	0.64	117.06002253633388	515.1392371751274
65	0.65	102.29871044113132	580.0635472214158
66	0.66	128.89569841565321	600.6012208200787
67	0.67	113.69878141517378	593.7391038159185
68	0.68	116.05089552437163	580.5368871748151
69	0.69	134.0021571948702	557.1066736444246
70	0.70	96.2384192318761	543.6393937439165
71	0.71	110.44417401354167	532.9072972035948
72	0.72	104.32434066236011	568.1942953849024
73	0.73	130.9985548540729	702.659824093274
74	0.74	112.35815880298436	601.2790270639473
75	0.75	99.33587678569396	539.8378081826662
76	0.76	90.73581539723233	588.238224946794
77	0.77	133.76181732896862	581.1221955195286
78	0.78	138.4469311717839	625.4188760703549
79	0.79	133.24309629073207	655.3919045909599
80	0.80	97.63543298764094	563.4733999324251
81	0.81	122.20097377115789	595.9733532177199
82	0.82	94.91934596448841	550.4667067272513
83	0.83	121.10036592142734	540.9877022294122
84	0.84	114.20242065322971	575.0363786596349
85	0.85	137.3538987346451	611.2513552766868
86	0.86	136.46411421591947	600.0776778063553
87	0.87	87.56730618015996	551.4423260356039
88	0.88	123.53937565705087	595.4462522566337
89	0.89	133.25134911951136	633.8399622342131
90	0.90	117.28876100916611	576.1646175846078
91	0.91	129.62931346157063	573.4238297241322
92	0.92	129.70488672012752	661.022239105995
93	0.93	100.93182976432874	573.2990319749322
94	0.94	100.23645626416622	571.4494562289852
95	0.95	106.65677851185028	618.830299643553
96	0.96	143.115123970492	583.5543682555402
97	0.97	130.15814813341686	626.507069127465
98	0.98	100.44015009686014	587.5905540684329
99	0.99	122.49865681385926	677.7671159534159
100	0.100	144.36122191438855	588.6533588698635
101	0.101	104.49694166370034	582.5539316091231
102	0.102	140.59675132394008	690.4706970700443
103	0.103	104.03470366269869	592.6092498225489
104	0.104	94.3181994981804	578.2509102757276
105	0.105	142.56340058332322	628.0974184662134
106	0.106	124.61706608811677	626.5685023238972
107	0.107	112.38141136370567	591.3217967254938
108	0.108	117.67501176369323	585.7343243857745
109	0.109	135.85763565415522	685.8609384703087
110	0.110	112.04813686233119	686.359407271138
111	0.111	84.67825211320094	567.6223007684889
112	0.112	102.57466585281087	550.6830062100531
113	0.113	96.16527456657121	554.7048419603309
114	0.114	111.51719025373495	557.041556876922
115	0.115	102.76101303957505	544.7561317106994
