 	i_Stator_OD	i_Tooth_Width_Ratio	i_Active_Length	L2_Pole_Arc	L2_Magnet_Thickness	L2_Magnet_Bar_Width	L1_Pole_V_angle	L1_Pole_Arc	L1_Magnet_Thickness	L1_Magnet_Bar_Width	i_YtoT	Total
o_Wh_Loss	0.618928704028471	0.01664379196541168	0.12642964777676882	-1	-1	-1	0.0110869656648999	0.06941008039149464	-1	0.13551922906230865	-1	0.9536824026428832
o_Weight_Act	0.8828997652419167	-1	0.12502548339746553	-1	-1	-1	-1	-1	-1	-1	-1	0.9959047106049548
o_TorqueVolumeDensity	0.5237327109475335	0.08482673446357908	-1	0.025849907411659337	0.01493506956617521	0.019488828141740598	-1	0.07766762065296491	0.01990237063118041	0.13220026103367166	0.0838855622097636	0.9706399780685007
o_Op2_max_temp	0.6769311372827641	0.01507359835328294	0.17270542853934556	-1	-1	-1	-1	0.09727810345561991	-1	0.018032514159876344	0.015645538556414845	0.9738580418278854
o_Op1_Jrms	0.8340600894380176	0.08775678845459935	0.04517144630081402	-1	-1	-1	-1	-1	-1	-1	0.015274833372291572	0.9786818615388503
o_Maxtorque	0.5099912187952702	0.02757190296399802	0.32777489109084085	-1	-1	-1	-1	0.024319313667120167	-1	0.04044428853269511	0.023777347673711112	0.9590049345377236
o_LabCurrentJ	0.7131314446667849	0.22060688129491274	-1	-1	-1	-1	-1	-1	-1	-1	0.06186111012496934	0.9986934239067357
