 	Design Numbers	obj_o_Wh_Loss	obj_o_Weight_Act
1	0.1	538.8102434301054	139.769439625259
2	0.2	592.0224549048363	102.99205680687956
3	0.3	669.488841964676	105.6068082604095
4	0.4	712.7705563763097	88.83409067926146
5	0.5	559.1607998765021	129.23223622100673
6	0.6	788.5906698267147	81.91716674526414
7	0.7	619.5402482268413	114.01817216644447
8	0.8	537.4032402573393	131.02184546281757
9	0.9	509.77148287592985	147.2447285551329
10	0.10	654.1144790618753	99.5856759011704
11	0.11	689.2736115108933	110.39626449097474
12	0.12	548.4982182010814	122.21045533789894
13	0.13	653.6719630845507	105.6629484320012
14	0.14	629.3576821778615	96.61686773543131
15	0.15	605.5669743604782	125.25549438451017
16	0.16	633.3804175067817	112.01784521668465
17	0.17	616.9235628379513	111.23774421883408
18	0.18	630.2169105835866	107.08995464825526
19	0.19	552.0232167521804	121.06856489437429
20	0.20	706.2782143507177	92.5971455322354
21	0.21	596.7090979410297	135.07464880563714
22	0.22	564.0618505676207	131.4464262205199
23	0.23	560.6991245787679	128.69590909572904
24	0.24	562.4818049108837	118.36499146553872
25	0.25	588.1529495066621	110.01586256615215
26	0.26	598.1839557390908	128.377703575475
27	0.27	543.1573772111545	122.85077331423683
28	0.28	543.6143125994577	133.03491516080405
29	0.29	643.9227697495205	115.21068301916407
30	0.30	579.0987313993171	106.86945693618856
31	0.31	523.482456657097	138.1414182520453
32	0.32	649.1376912282044	93.55240239802593
33	0.33	539.4438210901861	133.44679595145823
34	0.34	544.0883391687554	130.34827329362872
35	0.35	557.3690906058898	121.06856489437429
36	0.36	534.2793134553798	133.44679595145823
37	0.37	505.8556803536555	138.22660085670515
38	0.38	609.2547116373905	106.86945693618856
39	0.39	584.6808096633092	118.46069662886579
40	0.40	541.5938589678979	128.6002034481221
41	0.41	536.8806745932102	135.75236999096936
42	0.42	597.995140360428	105.04476096218949
43	0.43	550.3511150522002	124.40271400966816
44	0.44	517.7182739211344	141.20700601100344
45	0.45	601.7145530731351	101.90581498484754
46	0.46	523.3089855567038	141.88432779639984
47	0.47	725.6693277039176	88.83409067926146
48	0.48	639.8907391479617	100.50881706228492
49	0.49	638.746809038734	96.76991214274898
50	0.50	640.2197531835014	93.40481138590769
51	0.51	640.9617870615905	93.55240239802593
52	0.52	552.8205198700568	125.52472099890673
53	0.53	577.8551383945469	121.52365744234649
54	0.54	651.0907906293312	92.5971455322354
55	0.55	560.3391573211783	122.21045533789894
56	0.56	557.6693394002923	118.36499146553872
57	0.57	568.2099089106079	112.845513977848
58	0.58	535.989139174968	131.35354884003502
59	0.59	553.9926494770458	115.17353092144867
60	0.60	574.8323828356706	110.98057648637945
61	0.61	644.6031639431231	93.40481138590769
62	0.62	531.9101932150519	137.85459551922094
63	0.63	525.2756261968858	136.5057442220154
64	0.64	506.80046595474107	138.22660085670515
65	0.65	525.0597108464359	138.1414182520453
66	0.66	523.482456657097	138.1414182520453
67	0.67	583.0090799155753	107.95858072964295
68	0.68	547.3892591257213	120.9631337050111
69	0.69	566.1549156601532	118.05251416423314
70	0.70	559.90625923343	112.48886708635898
71	0.71	509.3020861441371	137.56460982536703
72	0.72	554.1499512956509	117.50032840022291
73	0.73	601.1347947293217	112.27482937119501
74	0.74	534.0886864074635	116.74705286343715
75	0.75	660.0406647215024	88.83409067926146
76	0.76	703.7518775382338	92.5971455322354
77	0.77	585.8352038691899	101.83922375719905
78	0.78	554.9032231403235	128.62186135601692
79	0.79	584.173769370272	101.83922375719905
80	0.80	506.21787614120063	140.84497061783497
81	0.81	512.5860175606216	137.56460982536703
82	0.82	551.592563382653	117.50032840022291
83	0.83	564.5286613805317	112.0570069931307
84	0.84	695.1573518493689	92.76496735638844
85	0.85	581.6737186998786	116.29871795057522
86	0.86	606.7561744807817	95.21853728312296
87	0.87	601.3229314354672	101.90581498484754
88	0.88	533.402632734743	132.7656011030804
89	0.89	628.9503514543477	98.52192797191515
90	0.90	626.0823684719645	92.15138646454537
91	0.91	660.0406647215024	88.83409067926146
92	0.92	574.8323828356706	110.98057648637945
93	0.93	509.3020861441371	137.56460982536703
94	0.94	553.9926494770458	115.17353092144867
95	0.95	542.1191221526784	115.69931179704372
96	0.96	557.1466677409213	117.37731600864643
97	0.97	576.4468944945573	101.04954861519157
98	0.98	541.9149816290419	117.53672800544463
99	0.99	618.1758196273358	92.5971455322354
100	0.100	625.87641040466	101.83922375719905
101	0.101	533.3200490742065	132.7656011030804
102	0.102	525.6505555559608	136.5057442220154
103	0.103	623.0227226511952	90.77032256419739
104	0.104	656.0929813033505	90.66118797148457
105	0.105	660.0406647215024	88.83409067926146
106	0.106	503.4979139624928	139.78592909379773
107	0.107	541.9816168175241	123.23598109610279
108	0.108	531.4594431363444	125.90286437361816
109	0.109	508.90598346001946	138.53120694790113
110	0.110	514.9381474859691	136.16351182704233
111	0.111	553.3199501034518	125.0347008007642
112	0.112	491.88465869588964	145.95750115902132
113	0.113	629.7481970182266	89.28513577522062
114	0.114	524.6214016772624	136.08091846841825
115	0.115	552.9909357144386	129.26458609271313
