#	i_init_Turns_Coil	L2_Magnet_Thickness	L1_Web_Length	L2_Pole_Arc	L1_Pole_V_angle	L1_Pole_Arc	u_YtoT	L1_Web_Thickness	L1_Magnet_Thickness	L1_Magnet_Separation	L2_Magnet_Bar_Width	L1_Magnet_Post	L2_Bridge_Thickness	L1_Magnet_Bar_Width	i_Tooth_Width_Ratio	L2_Web_Thickness	i_Split_Ratio	i_Slot_Op_Ratio	i_Stator_OD	i_AmpT_rms	L1_Bridge_Thickness	i_Line_Current_RMS	i_Active_Length	o_Active_Volume	o_Op1_Jrms	o_Op1_ShaftToruqe	o_Op1_copper_area	o_Op1_ipk	o_Op2_Jrms	o_Op2_ShaftToruqe	o_Op2_copper_area	o_Op2_ipk	o_Op2_max_temp	o_Op3_Jrms	o_Op3_ShaftToruqe	o_Op3_copper_area	o_Op3_ipk	o_Torque_Density	o_Turn_Coil	o_Weight_Act	o_Weight_Mag	o_Weight_Rot_Core	o_Weight_Stat_Core	o_Weight_Wdg	o_Wh_Loss	o_Wh_Shaft	o_Wh_input	obj_o_Weight_Act	constr_o_OP2_max_temp	constr_o_Op1_ShaftToruqe	obj_o_Wh_Loss	constr_o_Op2_ShaftToruqe	constr_o_Op3_ShaftToruqe
1	11	5.27125	0.17125	0.6025625	106.95	0.8055	2.326875	0.5631250000000001	4.24375	2.32125	0.3555	1.539375	1.928125	0.8431250000000001	0.5286875	0.59275	0.7569375	0.643625	377.5	1664.6875	1.621875	636.3961030678927	123.0775	0.01377534420518114	10.83334120358713	1126.93125486	146.164804399411	900.000000004	8.296176576809081	899.999999913	146.164804399411	689.220322599	188.607930399792	4.662780564844572	380.000000041	146.164804399411	387.369180894	81.80784727224034	10.46321617605761	98.17050230584429	3.902010952435733	33.61496656369017	33.34960580630441	22.95273879175194	685.116302876	9754.38501215	10394.0776974	98.17050230584429	-8.607930399791996	-172.0687451399999	685.116302876	0.9999999130000106	0.1000000410000439
1	11	5.27125	0.17125	0.6025625	106.95	0.8055	2.326875	0.5631250000000001	4.24375	2.32125	0.3555	1.539375	1.928125	0.8431250000000001	0.5286875	0.59275	0.7569375	0.643625	377.5	1664.6875	1.621875	636.3961030678927	123.0775	0.01377534420518114	10.83334120358713	1126.93125486	146.164804399411	900.000000004	8.296176576809081	899.999999913	146.164804399411	689.220322599	188.607930399792	4.662780564844572	380.000000041	146.164804399411	387.369180894	81.80784727224034	10.46321617605761	98.17050230584429	3.902010952435733	33.61496656369017	33.34960580630441	22.95273879175194	685.116302876	9754.38501215	10394.0776974	98.17050230584429	-8.607930399791996	-172.0687451399999	685.116302876	0.9999999130000106	0.1000000410000439
2	11	4.76125	0.52225	0.4113124999999999	123.45	0.8234999999999999	2.255625	0.638375	5.83375	1.69125	0.6985	1.974375	1.768125	0.8306250000000001	0.5406875	0.3467499999999999	0.7134875000000001	0.5926250000000001	390.5	1809.9375	1.758125	636.3961030678927	130.6175	0.01564347833189392	10.56419907498326	1299.99999999	155.963135391019	792.1986397540001	7.123910386542621	899.9999024049999	155.963135391019	534.214858873	152.766288109078	5.414490913923042	379.99999977	155.963135391019	406.027215743	83.10172280160737	11.37616959798957	111.569654410475	5.213020377482345	38.40801787380735	37.96542911295298	25.62915097274204	725.162188965	9753.391059109999	10436.6351498	111.569654410475	27.233711890922	0.9999999900001058	725.162188965	0.9999024049999434	0.09999977000001081
2	11	4.76125	0.52225	0.4113124999999999	123.45	0.8234999999999999	2.255625	0.638375	5.83375	1.69125	0.6985	1.974375	1.768125	0.8306250000000001	0.5406875	0.3467499999999999	0.7134875000000001	0.5926250000000001	390.5	1809.9375	1.758125	636.3961030678927	130.6175	0.01564347833189392	10.56419907498326	1299.99999999	155.963135391019	792.1986397540001	7.123910386542621	899.9999024049999	155.963135391019	534.214858873	152.766288109078	5.414490913923042	379.99999977	155.963135391019	406.027215743	83.10172280160737	11.37616959798957	111.569654410475	5.213020377482345	38.40801787380735	37.96542911295298	25.62915097274204	725.162188965	9753.391059109999	10436.6351498	111.569654410475	27.233711890922	0.9999999900001058	725.162188965	0.9999024049999434	0.09999977000001081
3	11	4.99375	0.43075	0.3663124999999999	126.75	0.7855	2.444375	0.344375	5.08375	5.59375	0.7811000000000001	1.700625	1.895625	0.8648750000000001	0.5283125	0.17425	0.7294375000000001	0.500375	393.1	1719.8125	1.725625	636.3961030678927	127.1725	0.01543437962163876	10.94798072507136	1299.69234112	154.404499995646	900.190633933	7.21764511002728	899.999678118	154.404499995646	593.466200778	159.395095024845	4.780847970695866	379.999999961	154.404499995646	393.102132124	84.20761786225938	10.80969849883902	110.5041819370934	4.413264344233898	38.71694842424944	37.95690327328376	25.05946304822402	668.660404168	9751.810043490001	10379.2018517	110.5041819370934	20.60490497515499	0.6923411200000373	668.660404168	0.9996781180000198	0.09999996100003727
3	11	4.99375	0.43075	0.3663124999999999	126.75	0.7855	2.444375	0.344375	5.08375	5.59375	0.7811000000000001	1.700625	1.895625	0.8648750000000001	0.5283125	0.17425	0.7294375000000001	0.500375	393.1	1719.8125	1.725625	636.3961030678927	127.1725	0.01543437962163876	10.94798072507136	1299.69234112	154.404499995646	900.190633933	7.21764511002728	899.999678118	154.404499995646	593.466200778	159.395095024845	4.780847970695866	379.999999961	154.404499995646	393.102132124	84.20761786225938	10.80969849883902	110.5041819370934	4.413264344233898	38.71694842424944	37.95690327328376	25.05946304822402	668.660404168	9751.810043490001	10379.2018517	110.5041819370934	20.60490497515499	0.6923411200000373	668.660404168	0.9996781180000198	0.09999996100003727
4	11	4.60375	0.3467499999999999	0.3831874999999999	116.15	0.6315	2.551875	0.6401250000000001	6.16375	1.35875	0.4409	1.516875	1.628125	0.8988750000000001	0.5770624999999999	0.34075	0.6703125000000001	0.506375	427.7	1804.6875	1.840625	636.3961030678927	125.3525	0.0180094886422135	8.988364905972833	1299.99997458	164.526323142883	715.179046569	6.232803474877809	900.000129506	164.526323142883	495.926733421	139.328202208176	5.135931060907488	379.999999296	164.526323142883	408.651664436	72.18416915696616	11.3431712815342	131.1332559247645	4.742670237911478	47.90488114372452	46.63861233998877	27.49097805592084	756.338751003	9751.80984027	10466.3638931	131.1332559247645	40.67179779182399	0.999974580000071	756.338751003	1.000129506000007	0.09999929600002133
4	11	4.60375	0.3467499999999999	0.3831874999999999	116.15	0.6315	2.551875	0.6401250000000001	6.16375	1.35875	0.4409	1.516875	1.628125	0.8988750000000001	0.5770624999999999	0.34075	0.6703125000000001	0.506375	427.7	1804.6875	1.840625	636.3961030678927	125.3525	0.0180094886422135	8.988364905972833	1299.99997458	164.526323142883	715.179046569	6.232803474877809	900.000129506	164.526323142883	495.926733421	139.328202208176	5.135931060907488	379.999999296	164.526323142883	408.651664436	72.18416915696616	11.3431712815342	131.1332559247645	4.742670237911478	47.90488114372452	46.63861233998877	27.49097805592084	756.338751003	9751.80984027	10466.3638931	131.1332559247645	40.67179779182399	0.999974580000071	756.338751003	1.000129506000007	0.09999929600002133
5	11	4.14625	0.56575	0.5373125	97.55	0.7424999999999999	2.719375	0.683875	6.62125	1.98875	0.3219	1.763125	1.925625	0.873125	0.6048125	0.32275	0.7508875	0.567875	422.7	1654.1875	1.510625	636.3961030678927	138.6775	0.01946078617447351	7.965098689049317	1299.99999996	146.66241106533	672.424032734	5.553636292363311	899.999997348	146.66241106533	468.845228143	127.16346190934	5.17950278526441	379.999999835	146.66241106533	437.260388903	66.80100116742433	10.39721954314686	138.6429743344231	6.540457306517575	49.81109315460459	52.35090512627314	25.58716716884481	828.456923424	9860.392092980001	10645.7229819	138.6429743344231	52.83653809066	0.9999999599999683	828.456923424	0.9999973479999653	0.09999983500000553
5	11	4.14625	0.56575	0.5373125	97.55	0.7424999999999999	2.719375	0.683875	6.62125	1.98875	0.3219	1.763125	1.925625	0.873125	0.6048125	0.32275	0.7508875	0.567875	422.7	1654.1875	1.510625	636.3961030678927	138.6775	0.01946078617447351	7.965098689049317	1299.99999996	146.66241106533	672.424032734	5.553636292363311	899.999997348	146.66241106533	468.845228143	127.16346190934	5.17950278526441	379.999999835	146.66241106533	437.260388903	66.80100116742433	10.39721954314686	138.6429743344231	6.540457306517575	49.81109315460459	52.35090512627314	25.58716716884481	828.456923424	9860.392092980001	10645.7229819	138.6429743344231	52.83653809066	0.9999999599999683	828.456923424	0.9999973479999653	0.09999983500000553
